Index,zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,target
0,12919,1,1,1,0,3,NY,580.0,420.0,250.0,170.0,160.0,0.0,2
1,12923,0,1,0,0,1,NY,80.0,70.0,30.0,20.0,20.0,0.0,2
2,12979,3,1,0,0,4,NY,430.0,290.0,160.0,130.0,160.0,0.0,2
3,15003,6,8,0,2,16,PA,2340.0,1650.0,820.0,450.0,360.0,40.0,2
4,15015,0,1,0,0,1,PA,160.0,70.0,60.0,70.0,190.0,110.0,4
5,15017,17,41,6,3,67,PA,2380.0,1930.0,1320.0,910.0,1330.0,520.0,2
6,15024,2,6,1,1,10,PA,1470.0,1050.0,650.0,490.0,630.0,180.0,2
7,15025,2,4,0,0,6,PA,2870.0,1740.0,1000.0,730.0,1200.0,370.0,2
8,15026,1,0,0,0,1,PA,580.0,400.0,300.0,230.0,410.0,90.0,3
9,15030,0,1,0,0,1,PA,210.0,150.0,80.0,30.0,20.0,0.0,2
10,15031,2,0,0,0,2,PA,120.0,80.0,40.0,40.0,0.0,0.0,2
11,15034,0,3,0,0,3,PA,360.0,280.0,120.0,70.0,50.0,0.0,2
12,15035,0,2,1,1,4,PA,450.0,360.0,150.0,80.0,50.0,0.0,2
13,15037,6,2,0,0,8,PA,1890.0,1350.0,860.0,640.0,770.0,90.0,2
14,15038,1,0,0,0,1,PA,70.0,70.0,20.0,30.0,0.0,0.0,2
15,15042,0,1,0,0,1,PA,1420.0,950.0,670.0,540.0,650.0,100.0,2
16,15044,11,24,4,0,39,PA,4090.0,2090.0,1630.0,1470.0,3240.0,2020.0,3
17,15045,0,3,0,0,3,PA,940.0,590.0,280.0,140.0,100.0,0.0,2
18,15051,0,1,0,0,1,PA,80.0,70.0,30.0,40.0,0.0,0.0,2
19,15055,0,1,0,0,1,PA,220.0,230.0,150.0,100.0,110.0,20.0,2
20,15056,1,1,1,0,3,PA,210.0,170.0,70.0,40.0,60.0,0.0,2
21,15057,2,2,1,0,5,PA,2160.0,1290.0,910.0,790.0,1720.0,520.0,3
22,15063,1,5,1,0,7,PA,1950.0,1450.0,910.0,600.0,650.0,80.0,2
23,15067,0,2,0,0,2,PA,460.0,310.0,160.0,90.0,80.0,0.0,2
24,15068,7,14,2,1,24,PA,7260.0,4610.0,2730.0,1850.0,2130.0,340.0,2
25,15071,1,8,2,0,11,PA,1700.0,1260.0,840.0,630.0,1010.0,260.0,2
26,15085,1,5,0,0,6,PA,1390.0,920.0,610.0,470.0,620.0,100.0,2
27,15086,1,2,0,0,3,PA,50.0,30.0,40.0,0.0,40.0,40.0,3
28,15090,35,50,12,3,100,PA,2940.0,1470.0,1230.0,1030.0,2780.0,2200.0,4
29,15101,6,21,4,0,31,PA,3790.0,2220.0,1740.0,1410.0,2700.0,1090.0,3
30,15102,12,39,2,1,54,PA,4670.0,3000.0,2210.0,2020.0,3140.0,700.0,3
31,15104,0,5,0,0,5,PA,2090.0,1030.0,290.0,120.0,60.0,0.0,1
32,15106,15,20,1,2,38,PA,3480.0,2690.0,1540.0,1030.0,1180.0,240.0,2
33,15108,36,62,12,1,111,PA,6210.0,4260.0,2930.0,2330.0,3940.0,1240.0,2
34,15110,1,0,0,0,1,PA,1350.0,590.0,180.0,70.0,50.0,0.0,1
35,15112,2,1,0,0,3,PA,720.0,460.0,180.0,80.0,60.0,0.0,2
36,15116,4,7,0,0,11,PA,2270.0,1490.0,1180.0,1000.0,1520.0,290.0,3
37,15120,23,37,6,1,67,PA,3870.0,2620.0,1280.0,760.0,770.0,90.0,2
38,15122,11,33,2,0,46,PA,3940.0,2790.0,1660.0,1060.0,930.0,80.0,2
39,15126,1,4,1,0,6,PA,1220.0,870.0,590.0,460.0,670.0,100.0,2
40,15129,2,2,1,1,6,PA,1760.0,1310.0,890.0,650.0,1040.0,160.0,2
41,15131,6,9,2,1,18,PA,1480.0,1180.0,770.0,460.0,460.0,60.0,2
42,15132,7,6,1,0,14,PA,4540.0,2350.0,900.0,430.0,310.0,20.0,1
43,15133,0,0,1,0,1,PA,1230.0,1010.0,550.0,320.0,230.0,0.0,2
44,15136,14,24,7,1,46,PA,4560.0,2910.0,1400.0,960.0,1290.0,300.0,2
45,15137,3,13,6,0,22,PA,2080.0,1580.0,770.0,430.0,360.0,30.0,2
46,15139,7,9,3,0,19,PA,1040.0,790.0,490.0,380.0,610.0,270.0,2
47,15140,1,2,0,0,3,PA,740.0,370.0,160.0,60.0,60.0,0.0,1
48,15142,0,1,0,0,1,PA,200.0,170.0,130.0,100.0,190.0,310.0,4
49,15143,8,20,4,0,32,PA,2740.0,1440.0,1130.0,980.0,2190.0,2040.0,3
50,15144,5,3,0,0,8,PA,810.0,620.0,330.0,220.0,200.0,0.0,2
51,15145,1,5,1,0,7,PA,1600.0,1060.0,400.0,190.0,150.0,30.0,2
52,15146,39,91,17,2,149,PA,4760.0,3480.0,2460.0,1680.0,2090.0,410.0,2
53,15147,9,9,3,1,22,PA,3170.0,2500.0,1360.0,820.0,770.0,110.0,2
54,15148,1,2,1,0,4,PA,580.0,350.0,120.0,50.0,30.0,0.0,1
55,15201,42,78,10,2,132,PA,2290.0,2300.0,1180.0,670.0,680.0,200.0,2
56,15202,10,23,13,1,47,PA,3640.0,3240.0,1550.0,900.0,1010.0,240.0,2
57,15203,70,107,18,0,195,PA,1590.0,1580.0,930.0,420.0,540.0,190.0,2
58,15205,33,86,11,4,134,PA,4110.0,3480.0,1960.0,1100.0,1320.0,300.0,2
59,15206,35,63,7,3,108,PA,5220.0,4100.0,1870.0,1000.0,1350.0,700.0,2
60,15207,3,8,1,0,12,PA,2150.0,1550.0,710.0,440.0,400.0,30.0,2
61,15208,3,4,0,0,7,PA,2010.0,1050.0,410.0,220.0,400.0,390.0,2
62,15209,7,13,1,2,23,PA,2180.0,1730.0,1050.0,720.0,860.0,130.0,2
63,15210,10,13,2,0,25,PA,5840.0,3770.0,1320.0,640.0,460.0,30.0,2
64,15211,11,13,0,0,24,PA,2040.0,2080.0,1040.0,500.0,580.0,180.0,2
65,15212,41,59,8,1,109,PA,5320.0,4200.0,1970.0,1040.0,1070.0,200.0,2
66,15213,51,118,18,3,190,PA,2550.0,1370.0,590.0,300.0,410.0,400.0,2
67,15214,4,1,0,0,5,PA,2940.0,1970.0,910.0,540.0,550.0,50.0,2
68,15215,15,28,6,3,52,PA,2070.0,1330.0,750.0,550.0,920.0,700.0,2
69,15216,28,40,10,0,78,PA,4000.0,3490.0,1840.0,1090.0,1490.0,400.0,2
70,15217,52,74,13,4,143,PA,3440.0,2330.0,1600.0,1010.0,1970.0,1810.0,3
71,15218,7,18,2,1,28,PA,2510.0,1980.0,1030.0,650.0,830.0,300.0,2
72,15219,32,60,7,2,101,PA,2690.0,1320.0,440.0,220.0,230.0,90.0,1
73,15220,19,25,6,4,54,PA,2720.0,2300.0,1620.0,1220.0,1410.0,240.0,2
74,15221,16,15,4,0,35,PA,6140.0,4420.0,1990.0,1160.0,1230.0,300.0,2
75,15222,102,166,37,7,312,PA,660.0,510.0,430.0,300.0,510.0,430.0,3
76,15223,9,13,1,1,24,PA,1470.0,1190.0,630.0,340.0,260.0,20.0,2
77,15224,26,45,6,1,78,PA,2200.0,1970.0,820.0,270.0,330.0,90.0,2
78,15225,1,3,0,0,4,PA,230.0,200.0,90.0,50.0,40.0,0.0,2
79,15226,8,19,4,2,33,PA,2470.0,2170.0,1300.0,750.0,670.0,50.0,2
80,15227,13,21,3,0,37,PA,5100.0,4240.0,2500.0,1530.0,1670.0,190.0,2
81,15228,21,31,4,2,58,PA,2360.0,1440.0,990.0,850.0,2000.0,1170.0,3
82,15229,6,20,3,1,30,PA,2360.0,1890.0,1360.0,910.0,1070.0,180.0,2
83,15232,44,58,5,2,109,PA,1290.0,1400.0,860.0,380.0,570.0,550.0,2
84,15233,5,18,2,0,25,PA,590.0,470.0,190.0,100.0,120.0,50.0,2
85,15234,17,34,2,0,53,PA,2380.0,2120.0,1240.0,800.0,960.0,150.0,2
86,15235,16,32,4,0,52,PA,6500.0,5330.0,2840.0,1710.0,1670.0,300.0,2
87,15236,21,49,5,0,75,PA,5020.0,3770.0,2690.0,1960.0,2630.0,390.0,2
88,15237,62,122,18,0,202,PA,6180.0,4160.0,3230.0,2720.0,4760.0,1630.0,3
89,15238,18,23,5,3,49,PA,1840.0,1020.0,710.0,560.0,1180.0,1600.0,3
90,15239,7,14,1,0,22,PA,3430.0,2370.0,1720.0,1320.0,1890.0,300.0,2
91,15241,20,48,15,2,85,PA,2700.0,1220.0,1010.0,940.0,2550.0,1890.0,4
92,15243,3,6,1,0,10,PA,1790.0,1030.0,950.0,900.0,1710.0,760.0,3
93,15317,32,66,7,2,107,PA,5700.0,3590.0,2620.0,2230.0,4450.0,1910.0,3
94,15321,2,3,0,0,5,PA,280.0,180.0,140.0,130.0,150.0,30.0,2
95,15332,0,3,0,0,3,PA,1380.0,950.0,670.0,510.0,610.0,140.0,2
96,15342,1,2,0,0,3,PA,870.0,610.0,390.0,290.0,370.0,50.0,2
97,15367,1,0,0,0,1,PA,1350.0,470.0,360.0,340.0,1010.0,980.0,4
98,15632,3,4,3,0,10,PA,1550.0,870.0,580.0,460.0,920.0,420.0,2
99,15636,1,2,1,0,4,PA,590.0,310.0,200.0,210.0,510.0,160.0,3
100,15637,1,1,1,0,3,PA,360.0,230.0,160.0,90.0,90.0,0.0,2
101,15642,22,34,5,1,62,PA,7410.0,4750.0,3370.0,2750.0,4510.0,910.0,2
102,15668,16,12,4,0,32,PA,2010.0,990.0,810.0,750.0,1700.0,760.0,3
103,16930,0,1,0,0,1,PA,200.0,130.0,110.0,70.0,80.0,0.0,2
104,18447,2,0,0,0,2,PA,1960.0,1440.0,830.0,500.0,540.0,70.0,2
105,19355,4,6,2,0,12,PA,3260.0,1760.0,1360.0,1230.0,2760.0,2670.0,4
106,19362,1,2,1,0,4,PA,840.0,680.0,420.0,270.0,360.0,70.0,2
107,19464,3,1,0,0,4,PA,8490.0,5530.0,3330.0,2230.0,3070.0,490.0,2
108,23919,1,0,0,0,1,VA,390.0,270.0,170.0,110.0,130.0,30.0,2
109,27560,0,1,0,0,1,NC,3150.0,2960.0,2460.0,2180.0,3460.0,1030.0,3
110,28012,14,34,4,4,56,NC,3450.0,2540.0,1570.0,1030.0,1700.0,610.0,2
111,28016,1,0,0,0,1,NC,2400.0,1570.0,760.0,400.0,330.0,40.0,2
112,28025,18,44,15,5,82,NC,8730.0,6120.0,3200.0,2030.0,2380.0,610.0,2
113,28027,49,85,16,2,152,NC,10120.0,7110.0,4010.0,2940.0,4790.0,1420.0,2
114,28031,43,72,12,3,130,NC,3760.0,2540.0,1920.0,1480.0,2710.0,1860.0,3
115,28032,2,3,0,1,6,NC,500.0,390.0,230.0,120.0,180.0,120.0,2
116,28034,1,7,1,0,9,NC,3130.0,2230.0,1170.0,670.0,620.0,60.0,2
117,28036,10,17,2,3,32,NC,1930.0,1130.0,890.0,750.0,1890.0,1470.0,4
118,28037,1,0,0,0,1,NC,2800.0,1800.0,1300.0,1120.0,2270.0,1110.0,3
119,28052,8,21,5,0,34,NC,7410.0,4050.0,1580.0,640.0,520.0,80.0,1
120,28054,26,37,11,2,76,NC,7190.0,4860.0,2210.0,1140.0,1140.0,230.0,2
121,28056,21,36,4,2,63,NC,5050.0,3460.0,2140.0,1530.0,2260.0,560.0,2
122,28075,7,21,3,0,31,NC,2450.0,1430.0,1030.0,1010.0,2400.0,670.0,3
123,28078,54,127,15,3,199,NC,6920.0,4760.0,3640.0,3050.0,6760.0,2680.0,3
124,28079,17,45,7,2,71,NC,5150.0,3460.0,2540.0,2040.0,2880.0,510.0,2
125,28081,5,3,0,0,8,NC,4840.0,3190.0,1520.0,860.0,1020.0,210.0,2
126,28083,10,30,2,1,43,NC,4810.0,3290.0,1480.0,730.0,550.0,50.0,2
127,28098,2,3,0,0,5,NC,730.0,540.0,280.0,140.0,150.0,0.0,2
128,28101,0,1,0,0,1,NC,90.0,80.0,50.0,30.0,100.0,0.0,3
129,28104,12,24,5,2,43,NC,3780.0,2140.0,1640.0,1360.0,3140.0,1860.0,3
130,28105,59,133,19,7,218,NC,6150.0,4260.0,2630.0,2040.0,3500.0,1230.0,2
131,28107,1,1,0,0,2,NC,1160.0,750.0,540.0,430.0,530.0,100.0,2
132,28110,20,35,8,0,63,NC,8310.0,5850.0,3260.0,2070.0,2440.0,430.0,2
133,28112,4,11,4,0,19,NC,4510.0,3170.0,1610.0,940.0,970.0,150.0,2
134,28120,8,11,1,0,20,NC,3380.0,2420.0,1570.0,1030.0,1360.0,290.0,2
135,28134,34,57,9,2,102,NC,1920.0,1450.0,760.0,510.0,690.0,160.0,2
136,28164,2,4,0,0,6,NC,2290.0,1520.0,910.0,660.0,960.0,260.0,2
137,28173,26,29,7,0,62,NC,6480.0,2980.0,2270.0,1900.0,5550.0,4010.0,3
138,28202,68,143,27,4,242,NC,1450.0,1590.0,1570.0,900.0,1470.0,650.0,3
139,28203,75,151,23,8,257,NC,2130.0,2150.0,1890.0,1030.0,1460.0,1240.0,3
140,28204,47,75,6,1,129,NC,980.0,1040.0,770.0,410.0,590.0,410.0,3
141,28205,62,113,15,4,194,NC,9200.0,6330.0,2820.0,1430.0,2130.0,840.0,2
142,28206,12,22,3,1,38,NC,3440.0,1530.0,430.0,150.0,200.0,40.0,1
143,28207,9,13,0,1,23,NC,840.0,540.0,380.0,290.0,540.0,1770.0,5
144,28208,45,73,11,3,132,NC,10290.0,4780.0,1260.0,460.0,450.0,100.0,1
145,28209,42,74,11,6,133,NC,2820.0,2730.0,1940.0,1040.0,1810.0,1440.0,3
146,28210,63,128,17,0,208,NC,6610.0,5260.0,2880.0,1900.0,3700.0,2260.0,2
147,28211,33,59,10,5,107,NC,3630.0,2380.0,1470.0,1090.0,2320.0,2980.0,3
148,28212,11,26,0,1,38,NC,9400.0,5680.0,1600.0,620.0,480.0,60.0,1
149,28213,25,35,10,2,72,NC,8950.0,5480.0,2250.0,1120.0,1070.0,130.0,2
150,28214,9,13,2,1,25,NC,7250.0,5590.0,2760.0,1380.0,1470.0,330.0,2
151,28215,13,18,2,0,33,NC,12290.0,7790.0,3190.0,1630.0,1550.0,250.0,2
152,28216,18,39,6,2,65,NC,11490.0,7960.0,3360.0,1540.0,1520.0,340.0,2
153,28217,40,78,16,0,134,NC,6180.0,3830.0,1510.0,790.0,520.0,60.0,2
154,28226,23,28,5,0,56,NC,5150.0,3680.0,2340.0,1620.0,3310.0,2930.0,3
155,28227,17,43,5,1,66,NC,10360.0,6880.0,3260.0,2060.0,2730.0,720.0,2
156,28262,70,121,21,3,215,NC,7410.0,5290.0,2760.0,1550.0,1390.0,250.0,2
157,28269,40,65,16,4,125,NC,12890.0,9790.0,5710.0,3420.0,4420.0,880.0,2
158,28270,21,30,13,3,67,NC,3940.0,2610.0,1850.0,1430.0,3200.0,2210.0,3
159,28273,40,77,18,3,138,NC,6180.0,5530.0,2980.0,1540.0,1540.0,180.0,2
160,28277,100,199,41,7,347,NC,7420.0,4790.0,4090.0,3190.0,7400.0,4680.0,3
161,28278,10,19,4,0,33,NC,3380.0,2800.0,2090.0,1520.0,2750.0,940.0,3
162,28451,0,1,0,0,1,NC,4970.0,3810.0,2280.0,1720.0,2270.0,480.0,2
163,28730,1,6,0,0,7,NC,1600.0,990.0,610.0,420.0,580.0,260.0,2
164,29707,20,16,4,5,45,SC,2860.0,2500.0,1980.0,1840.0,3330.0,890.0,3
165,29708,39,66,13,1,119,SC,3430.0,2210.0,1870.0,1680.0,4070.0,1760.0,3
166,29710,3,3,1,0,7,SC,4920.0,3520.0,2370.0,1620.0,2530.0,870.0,2
167,29715,21,30,5,3,59,SC,4310.0,2940.0,1970.0,1610.0,3100.0,1070.0,3
168,41076,0,1,0,0,1,KY,2520.0,1990.0,1250.0,820.0,1180.0,300.0,2
169,44001,9,23,6,1,39,OH,3530.0,2560.0,1920.0,1270.0,1530.0,280.0,2
170,44011,29,57,7,1,94,OH,2850.0,1580.0,1560.0,1230.0,2750.0,1210.0,3
171,44012,16,22,7,0,45,OH,3300.0,2050.0,1870.0,1460.0,2560.0,1260.0,3
172,44017,11,24,2,1,38,OH,2820.0,2420.0,1630.0,970.0,1010.0,110.0,2
173,44021,5,4,1,1,11,OH,920.0,800.0,490.0,290.0,310.0,50.0,2
174,44022,11,31,5,0,47,OH,2220.0,1060.0,900.0,730.0,1810.0,2090.0,4
175,44023,9,22,4,0,35,OH,2590.0,1420.0,1080.0,970.0,2020.0,1460.0,3
176,44024,7,16,5,0,28,OH,3780.0,2400.0,1810.0,1330.0,2140.0,600.0,2
177,44026,5,13,3,0,21,OH,1770.0,1120.0,990.0,750.0,1060.0,350.0,3
178,44028,2,2,1,0,5,OH,1490.0,1100.0,790.0,530.0,720.0,180.0,2
179,44035,17,26,4,2,49,OH,12580.0,8920.0,4390.0,2330.0,1820.0,210.0,2
180,44039,12,14,2,1,29,OH,4670.0,4090.0,3150.0,2380.0,2850.0,330.0,2
181,44040,3,2,0,0,5,OH,360.0,180.0,150.0,170.0,330.0,490.0,4
182,44044,0,6,1,0,7,OH,1970.0,1480.0,1100.0,650.0,810.0,150.0,2
183,44045,2,0,0,0,2,OH,80.0,90.0,40.0,30.0,30.0,0.0,2
184,44050,2,0,0,0,2,OH,940.0,800.0,560.0,390.0,460.0,60.0,2
185,44052,2,6,0,0,8,OH,6640.0,3580.0,1390.0,640.0,410.0,40.0,1
186,44053,3,7,3,1,14,OH,3680.0,2410.0,1450.0,920.0,920.0,100.0,2
187,44054,2,3,2,0,7,OH,2120.0,1700.0,1120.0,670.0,640.0,100.0,2
188,44055,1,2,0,0,3,OH,4590.0,2360.0,810.0,290.0,190.0,0.0,1
189,44056,10,29,4,0,43,OH,1770.0,1270.0,1120.0,860.0,1200.0,290.0,3
190,44060,59,116,23,3,201,OH,9940.0,7680.0,5680.0,3910.0,4810.0,980.0,2
191,44062,5,8,1,1,15,OH,2040.0,1900.0,850.0,470.0,320.0,60.0,2
192,44065,2,4,2,0,8,OH,670.0,520.0,360.0,230.0,290.0,90.0,2
193,44067,9,23,5,0,37,OH,3210.0,2570.0,1960.0,1380.0,1720.0,400.0,2
194,44070,34,69,10,2,115,OH,5750.0,4280.0,3000.0,2000.0,2080.0,250.0,2
195,44072,0,2,0,0,2,OH,650.0,420.0,320.0,260.0,460.0,330.0,3
196,44077,21,28,2,1,52,OH,9890.0,7200.0,4440.0,2780.0,3500.0,940.0,2
197,44087,14,27,8,1,50,OH,3380.0,2310.0,1810.0,1270.0,2020.0,510.0,2
198,44092,9,15,4,1,29,OH,3050.0,2710.0,1510.0,790.0,800.0,130.0,2
199,44094,27,56,9,2,94,OH,6130.0,4800.0,3270.0,2130.0,2650.0,880.0,2
200,44095,17,21,2,0,40,OH,6200.0,5370.0,3040.0,1670.0,1280.0,150.0,2
201,44102,21,47,11,1,80,OH,9390.0,5000.0,1630.0,610.0,600.0,170.0,1
202,44103,10,21,3,1,35,OH,3550.0,1520.0,340.0,120.0,90.0,20.0,1
203,44104,1,2,0,0,3,OH,5070.0,1500.0,320.0,80.0,40.0,0.0,1
204,44105,2,5,0,0,7,OH,8510.0,4270.0,1140.0,340.0,200.0,0.0,1
205,44106,25,59,8,4,96,OH,3890.0,2010.0,880.0,400.0,620.0,510.0,2
206,44107,67,102,18,8,195,OH,9020.0,8350.0,4540.0,2300.0,2640.0,750.0,2
207,44108,4,5,0,0,9,OH,5310.0,2530.0,630.0,230.0,250.0,160.0,1
208,44109,11,33,6,1,51,OH,9030.0,5230.0,1930.0,760.0,530.0,30.0,1
209,44110,8,11,1,1,21,OH,4330.0,2070.0,540.0,170.0,120.0,0.0,1
210,44111,21,44,2,3,70,OH,8640.0,6000.0,2610.0,1240.0,960.0,110.0,2
211,44112,1,9,3,1,14,OH,4760.0,2110.0,600.0,220.0,160.0,0.0,1
212,44113,97,143,26,3,269,OH,2760.0,2240.0,1540.0,690.0,810.0,390.0,2
213,44114,38,65,12,1,116,OH,1240.0,740.0,490.0,200.0,250.0,220.0,2
214,44115,26,59,9,2,96,OH,1650.0,500.0,320.0,120.0,170.0,70.0,1
215,44116,32,57,18,4,111,OH,3080.0,2200.0,1790.0,1180.0,2170.0,1150.0,3
216,44117,2,3,1,0,6,OH,2090.0,1370.0,590.0,280.0,200.0,0.0,2
217,44118,27,64,14,2,107,OH,6120.0,4190.0,2650.0,1630.0,2450.0,890.0,2
218,44119,5,11,1,0,17,OH,2590.0,2010.0,880.0,370.0,310.0,40.0,2
219,44120,10,32,2,2,46,OH,7120.0,4030.0,1470.0,780.0,1110.0,800.0,2
220,44121,19,29,1,2,51,OH,6260.0,4640.0,2580.0,1330.0,1310.0,170.0,2
221,44122,52,109,11,2,174,OH,4750.0,3130.0,2180.0,1500.0,2790.0,2500.0,3
222,44123,8,6,0,0,14,OH,3810.0,2860.0,1060.0,490.0,370.0,50.0,2
223,44124,46,68,15,4,133,OH,6080.0,5040.0,3560.0,2250.0,2710.0,1500.0,2
224,44125,14,19,2,0,35,OH,5820.0,4550.0,1930.0,870.0,680.0,60.0,2
225,44126,17,37,3,1,58,OH,2770.0,2290.0,1730.0,1090.0,1260.0,270.0,2
226,44127,0,2,0,0,2,OH,1060.0,380.0,80.0,30.0,0.0,0.0,1
227,44128,6,14,3,1,24,OH,6840.0,4520.0,1380.0,470.0,290.0,20.0,1
228,44129,26,60,9,3,98,OH,5320.0,4640.0,2550.0,1370.0,1000.0,90.0,2
229,44130,51,95,8,3,157,OH,9700.0,7790.0,4800.0,2800.0,2360.0,280.0,2
230,44131,13,28,8,2,51,OH,3220.0,2300.0,2020.0,1460.0,1960.0,500.0,3
231,44132,3,3,1,0,7,OH,3310.0,2240.0,920.0,390.0,260.0,40.0,2
232,44133,22,34,4,0,60,OH,4960.0,4010.0,2640.0,1830.0,2650.0,710.0,2
233,44134,12,42,11,4,69,OH,7080.0,6120.0,3590.0,1900.0,1470.0,100.0,2
234,44135,15,28,6,1,50,OH,5700.0,3970.0,1750.0,760.0,450.0,30.0,2
235,44136,37,47,12,1,97,OH,3930.0,2710.0,2130.0,1640.0,2410.0,650.0,3
236,44137,5,9,0,0,14,OH,5270.0,3730.0,1450.0,560.0,350.0,0.0,2
237,44138,9,14,2,0,25,OH,3540.0,2670.0,1950.0,1410.0,1940.0,380.0,2
238,44139,28,34,10,2,74,OH,3410.0,1870.0,1540.0,1250.0,2580.0,1680.0,3
239,44140,3,3,1,0,7,OH,1940.0,1120.0,1240.0,960.0,1870.0,880.0,3
240,44141,8,10,2,0,20,OH,1830.0,1010.0,960.0,850.0,1740.0,910.0,3
241,44142,7,11,5,0,23,OH,3920.0,3190.0,1740.0,900.0,640.0,30.0,2
242,44143,12,35,5,0,52,OH,4140.0,2830.0,2020.0,1360.0,2110.0,800.0,2
243,44144,16,34,2,1,53,OH,4430.0,3800.0,1770.0,800.0,500.0,50.0,2
244,44145,49,98,13,4,164,OH,4930.0,3140.0,2710.0,1870.0,3040.0,2010.0,3
245,44146,16,18,3,0,37,OH,6070.0,5150.0,2350.0,1070.0,800.0,80.0,2
246,44147,14,20,2,2,38,OH,2960.0,2190.0,1590.0,1190.0,1980.0,790.0,3
247,44149,12,13,2,0,27,OH,2860.0,1830.0,1610.0,1320.0,2210.0,780.0,3
248,44202,12,34,4,1,51,OH,2960.0,1800.0,1550.0,1190.0,2370.0,1010.0,3
249,44212,22,29,8,2,61,OH,7390.0,5670.0,4100.0,2820.0,3370.0,390.0,2
250,44221,21,46,6,4,77,OH,5340.0,5290.0,2790.0,1270.0,890.0,70.0,2
251,44223,12,24,5,3,44,OH,2920.0,2310.0,1690.0,1090.0,1260.0,360.0,2
252,44224,21,44,7,1,73,OH,6130.0,4560.0,3260.0,2250.0,3230.0,700.0,2
253,44233,0,3,0,0,3,OH,1180.0,650.0,580.0,440.0,870.0,480.0,3
254,44234,1,0,1,0,2,OH,550.0,440.0,300.0,190.0,230.0,60.0,2
255,44236,27,56,10,0,93,OH,3200.0,1320.0,1310.0,1170.0,3190.0,2340.0,4
256,44240,33,74,13,5,125,OH,6370.0,3730.0,2250.0,1480.0,1830.0,340.0,2
257,44241,16,32,6,1,55,OH,3010.0,2560.0,1540.0,900.0,1020.0,130.0,2
258,44253,1,1,0,0,2,OH,550.0,460.0,290.0,240.0,270.0,40.0,2
259,44255,2,1,1,0,4,OH,1330.0,1100.0,650.0,420.0,420.0,70.0,2
260,44256,32,81,12,3,128,OH,9650.0,6280.0,4740.0,3670.0,5980.0,1940.0,3
261,44260,0,1,0,0,1,OH,2310.0,1790.0,1190.0,770.0,720.0,130.0,2
262,44262,3,4,0,0,7,OH,770.0,630.0,460.0,320.0,420.0,70.0,2
263,44264,7,6,1,0,14,OH,400.0,300.0,230.0,170.0,270.0,120.0,3
